日期,地区,气温
2020-01-15,北京,2.5
2020-01-20,北京,3.1
2020-02-15,北京,5.2
2020-02-20,北京,4.8
2021-01-15,北京,1.8
2021-01-20,北京,2.4
2021-02-15,北京,6.0
2021-02-20,北京,5.5
2020-01-15,上海,5.2
2020-01-20,上海,6.0
2020-01-25,上海,5.6
2020-02-15,上海,8.0
2020-02-20,上海,7.6
2021-01-15,上海,4.5
2021-01-20,上海,5.8
2021-02-15,上海,9.2
2021-02-20,上海,8.8
2020-01-15,广州,12.5
2020-01-20,广州,13.2
2020-02-15,广州,15.0
2020-02-20,广州,14.6
2021-01-15,广州,11.8
2021-01-20,广州,12.6
2021-02-15,广州,16.2
2021-02-20,广州,15.8
2020-01-15,北京,不是数值
2021-13-01,上海,5.0
